ID,Reached_3w,Reached_3m,Tenure_In_Months,Date_Joined,FUA_Balance,Number_Of_Services,Has_Payroll,Income,Has_Investment,Has_Visa,VISA_balance,Has_mortgage,Has_Deposit,Number_Transactions,Age,City
6258251,0,0,6,6/17/2020,433925.6743,2,0,NA,0,1,1007.587704,0,1,0,43,VANCOUVER                                                                                           
4121105,0,0,6,11/5/2020,200644.8395,2,0,288933.6313,0,0,0,0,1,0,44,VANCOUVER                                                                                           
6933879,0,0,6,11/5/2020,13899.15334,2,1,NA,0,0,0,0,1,3,51,BURNABY                                                                                             
4160595,0,0,6,7/6/2020,17806.07663,4,1,NA,0,1,1617.46134,0,1,5,46,PORT COQUITLAM                                                                                      
8637571,0,0,6,2/9/2021,22583.08586,1,1,NA,1,0,0,0,1,0,47,CHILLIWACK                                                                                          
5030310,0,0,6,7/17/2020,10792.79644,3,1,NA,0,1,0,0,1,1,68,COQUITLAM                                                                                           
4949352,0,0,6,5/7/2020,8840.39344,1,0,NA,0,1,0,0,1,2,51,COQUITLAM                                                                                           
4776616,0,0,6,7/28/2020,5429.753035,1,0,64877.94287,0,1,0,0,1,87,27,SURREY                                                                                              
3594650,0,0,6,9/17/2020,22450.12777,1,0,NA,0,0,0,0,1,2,64,VANCOUVER                                                                                           
7891769,0,0,6,4/30/2020,39692.75943,2,1,NA,0,1,1350.816071,0,1,13,68,LANGLEY                                                                                             
6811114,0,0,6,8/6/2020,42435.30224,1,0,NA,1,1,1059.007612,0,1,0,61,MAPLE RIDGE                                                                                         
8404171,0,0,6,5/11/2020,416756.9666,1,0,NA,0,1,116.74185,0,1,6,41,SURREY                                                                                              
76480,0,0,6,1/19/2021,24614.308,4,1,NA,1,1,0,0,1,0,45,BURNABY                                                                                             
9229933,0,0,6,12/3/2020,32206.08575,1,1,NA,0,0,0,0,1,2,83,BURNABY                                                                                             
1345839,0,0,6,11/6/2020,2112310.566,3,1,NA,0,1,583.2994376,0,1,11,60,VANCOUVER                                                                                           
6415541,0,1,6,8/21/2020,33777.36751,5,0,NA,0,1,368.8524736,0,1,62,64,VANCOUVER                                                                                           
7109669,0,0,6,7/6/2020,45108.22766,1,1,NA,1,1,0,0,1,4,44,SURREY                                                                                              
8594203,1,0,6,2/6/2021,558880.2226,1,1,NA,0,1,248.9516843,0,1,6,69,VANCOUVER                                                                                           
4820459,0,1,6,7/12/2020,26673.86111,1,1,NA,0,1,561.4861127,0,1,7,65,SURREY                                                                                              
536393,0,1,6,8/18/2020,1588.254786,4,1,NA,0,1,613.5877888,0,1,0,60,MAPLE RIDGE                                                                                         
1137106,0,0,6,3/25/2020,849563.7631,2,1,237217.91,0,1,0,0,1,0,55,VANCOUVER                                                                                           
2461114,0,0,6,11/3/2020,12208.16121,1,0,NA,1,0,0,0,1,0,55,BURNABY                                                                                             
7168313,0,0,6,9/11/2020,829390.9028,3,1,NA,1,1,2328.022474,0,1,0,49,WHITE ROCK                                                                                          
6406499,0,0,6,8/10/2020,8298.824743,1,1,NA,0,1,0,0,1,0,71,KAMLOOPS                                                                                            
97324,0,0,6,12/10/2020,948393.4875,2,1,NA,0,1,1073.672659,0,1,2,54,ABBOTSFORD                                                                                          
84219,1,0,6,4/28/2020,485103.5815,1,1,NA,0,1,1369.866376,0,1,19,41,VANCOUVER                                                                                           
